rid,version,t,scene_code,P,I,G,S,L,C,rating,IP,sex,age,occupation,personal_income,household_income,marital_status,children_num,grandparent_help,fertility_intent_ord,PolicySupportIndex,InfoIndex,SupportIndex,prov,city,P_label,I_label,G_label,S_label,L_label,C_label,group_id,policy_id,group_label,policy_label
A_3,A,1,311132,3,1,1,1,3,2,10,39.182.4.62(浙江-杭州),女,26-30岁,机关事业单位人员,5001-8000元,8001-15000元,已婚,,能,2.0,4.5,4.666666666666667,4.333333333333333,浙江,杭州,三胎/已有2孩及以上,中低收入,无祖辈照护,低补贴,长假期,增强托育,3-1-1,1-3-2,三胎/已有2孩及以上|中低收入|无祖辈照护,低补贴-长假期-增强托育
A_3,A,2,311232,3,1,1,2,3,2,9,39.182.4.62(浙江-杭州),女,26-30岁,机关事业单位人员,5001-8000元,8001-15000元,已婚,,能,2.0,4.5,4.666666666666667,4.333333333333333,浙江,杭州,三胎/已有2孩及以上,中低收入,无祖辈照护,中补贴,长假期,增强托育,3-1-1,2-3-2,三胎/已有2孩及以上|中低收入|无祖辈照护,中补贴-长假期-增强托育
A_3,A,3,111121,1,1,1,1,2,1,9,39.182.4.62(浙江-杭州),女,26-30岁,机关事业单位人员,5001-8000元,8001-15000元,已婚,,能,2.0,4.5,4.666666666666667,4.333333333333333,浙江,杭州,首胎/无子女,中低收入,无祖辈照护,低补贴,中假期,基础托育,1-1-1,1-2-1,首胎/无子女|中低收入|无祖辈照护,低补贴-中假期-基础托育
A_3,A,4,112132,1,1,2,1,3,2,9,39.182.4.62(浙江-杭州),女,26-30岁,机关事业单位人员,5001-8000元,8001-15000元,已婚,,能,2.0,4.5,4.666666666666667,4.333333333333333,浙江,杭州,首胎/无子女,中低收入,有祖辈照护,低补贴,长假期,增强托育,1-1-2,1-3-2,首胎/无子女|中低收入|有祖辈照护,低补贴-长假期-增强托育
A_3,A,5,122231,1,2,2,2,3,1,9,39.182.4.62(浙江-杭州),女,26-30岁,机关事业单位人员,5001-8000元,8001-15000元,已婚,,能,2.0,4.5,4.666666666666667,4.333333333333333,浙江,杭州,首胎/无子女,中高收入,有祖辈照护,中补贴,长假期,基础托育,1-2-2,2-3-1,首胎/无子女|中高收入|有祖辈照护,中补贴-长假期-基础托育
A_3,A,6,122321,1,2,2,3,2,1,9,39.182.4.62(浙江-杭州),女,26-30岁,机关事业单位人员,5001-8000元,8001-15000元,已婚,,能,2.0,4.5,4.666666666666667,4.333333333333333,浙江,杭州,首胎/无子女,中高收入,有祖辈照护,高补贴,中假期,基础托育,1-2-2,3-2-1,首胎/无子女|中高收入|有祖辈照护,高补贴-中假期-基础托育
A_16,A,1,321322,3,2,1,3,2,2,8,39.171.215.151(浙江-绍兴),男,26-30岁,企业职工,5001-8000元,8001-15000元,已婚,,能,4.0,4.5,4.666666666666667,4.333333333333333,浙江,绍兴,三胎/已有2孩及以上,中高收入,无祖辈照护,高补贴,中假期,增强托育,3-2-1,3-2-2,三胎/已有2孩及以上|中高收入|无祖辈照护,高补贴-中假期-增强托育
A_16,A,2,121222,1,2,1,2,2,2,10,39.171.215.151(浙江-绍兴),男,26-30岁,企业职工,5001-8000元,8001-15000元,已婚,,能,4.0,4.5,4.666666666666667,4.333333333333333,浙江,绍兴,首胎/无子女,中高收入,无祖辈照护,中补贴,中假期,增强托育,1-2-1,2-2-2,首胎/无子女|中高收入|无祖辈照护,中补贴-中假期-增强托育
A_16,A,3,312321,3,1,2,3,2,1,9,39.171.215.151(浙江-绍兴),男,26-30岁,企业职工,5001-8000元,8001-15000元,已婚,,能,4.0,4.5,4.666666666666667,4.333333333333333,浙江,绍兴,三胎/已有2孩及以上,中低收入,有祖辈照护,高补贴,中假期,基础托育,3-1-2,3-2-1,三胎/已有2孩及以上|中低收入|有祖辈照护,高补贴-中假期-基础托育
A_16,A,4,211111,2,1,1,1,1,1,10,39.171.215.151(浙江-绍兴),男,26-30岁,企业职工,5001-8000元,8001-15000元,已婚,,能,4.0,4.5,4.666666666666667,4.333333333333333,浙江,绍兴,二胎/已有1孩,中低收入,无祖辈照护,低补贴,短假期,基础托育,2-1-1,1-1-1,二胎/已有1孩|中低收入|无祖辈照护,低补贴-短假期-基础托育
