P,I,G,S,L,C,P_label,I_label,G_label,S_label,L_label,C_label,group_id,policy_id,group_label,policy_label,n_obs,is_observed
1,1,1,1,1,1,首胎/无子女,中低收入,无祖辈照护,低补贴,短假期,基础托育,1-1-1,1-1-1,首胎/无子女|中低收入|无祖辈照护,低补贴-短假期-基础托育,13,1
1,1,1,1,1,2,首胎/无子女,中低收入,无祖辈照护,低补贴,短假期,增强托育,1-1-1,1-1-2,首胎/无子女|中低收入|无祖辈照护,低补贴-短假期-增强托育,35,1
1,1,1,1,2,1,首胎/无子女,中低收入,无祖辈照护,低补贴,中假期,基础托育,1-1-1,1-2-1,首胎/无子女|中低收入|无祖辈照护,低补贴-中假期-基础托育,46,1
1,1,1,1,2,2,首胎/无子女,中低收入,无祖辈照护,低补贴,中假期,增强托育,1-1-1,1-2-2,首胎/无子女|中低收入|无祖辈照护,低补贴-中假期-增强托育,39,1
1,1,1,1,3,1,首胎/无子女,中低收入,无祖辈照护,低补贴,长假期,基础托育,1-1-1,1-3-1,首胎/无子女|中低收入|无祖辈照护,低补贴-长假期-基础托育,50,1
1,1,1,1,3,2,首胎/无子女,中低收入,无祖辈照护,低补贴,长假期,增强托育,1-1-1,1-3-2,首胎/无子女|中低收入|无祖辈照护,低补贴-长假期-增强托育,40,1
1,1,1,2,1,1,首胎/无子女,中低收入,无祖辈照护,中补贴,短假期,基础托育,1-1-1,2-1-1,首胎/无子女|中低收入|无祖辈照护,中补贴-短假期-基础托育,16,1
1,1,1,2,1,2,首胎/无子女,中低收入,无祖辈照护,中补贴,短假期,增强托育,1-1-1,2-1-2,首胎/无子女|中低收入|无祖辈照护,中补贴-短假期-增强托育,37,1
1,1,1,2,2,1,首胎/无子女,中低收入,无祖辈照护,中补贴,中假期,基础托育,1-1-1,2-2-1,首胎/无子女|中低收入|无祖辈照护,中补贴-中假期-基础托育,48,1
1,1,1,2,2,2,首胎/无子女,中低收入,无祖辈照护,中补贴,中假期,增强托育,1-1-1,2-2-2,首胎/无子女|中低收入|无祖辈照护,中补贴-中假期-增强托育,43,1
1,1,1,2,3,1,首胎/无子女,中低收入,无祖辈照护,中补贴,长假期,基础托育,1-1-1,2-3-1,首胎/无子女|中低收入|无祖辈照护,中补贴-长假期-基础托育,0,0
1,1,1,2,3,2,首胎/无子女,中低收入,无祖辈照护,中补贴,长假期,增强托育,1-1-1,2-3-2,首胎/无子女|中低收入|无祖辈照护,中补贴-长假期-增强托育,0,0
1,1,1,3,1,1,首胎/无子女,中低收入,无祖辈照护,高补贴,短假期,基础托育,1-1-1,3-1-1,首胎/无子女|中低收入|无祖辈照护,高补贴-短假期-基础托育,48,1
1,1,1,3,1,2,首胎/无子女,中低收入,无祖辈照护,高补贴,短假期,增强托育,1-1-1,3-1-2,首胎/无子女|中低收入|无祖辈照护,高补贴-短假期-增强托育,48,1
1,1,1,3,2,1,首胎/无子女,中低收入,无祖辈照护,高补贴,中假期,基础托育,1-1-1,3-2-1,首胎/无子女|中低收入|无祖辈照护,高补贴-中假期-基础托育,36,1
1,1,1,3,2,2,首胎/无子女,中低收入,无祖辈照护,高补贴,中假期,增强托育,1-1-1,3-2-2,首胎/无子女|中低收入|无祖辈照护,高补贴-中假期-增强托育,10,1
1,1,1,3,3,1,首胎/无子女,中低收入,无祖辈照护,高补贴,长假期,基础托育,1-1-1,3-3-1,首胎/无子女|中低收入|无祖辈照护,高补贴-长假期-基础托育,38,1
1,1,1,3,3,2,首胎/无子女,中低收入,无祖辈照护,高补贴,长假期,增强托育,1-1-1,3-3-2,首胎/无子女|中低收入|无祖辈照护,高补贴-长假期-增强托育,6,1
1,1,2,1,1,1,首胎/无子女,中低收入,有祖辈照护,低补贴,短假期,基础托育,1-1-2,1-1-1,首胎/无子女|中低收入|有祖辈照护,低补贴-短假期-基础托育,0,0
1,1,2,1,1,2,首胎/无子女,中低收入,有祖辈照护,低补贴,短假期,增强托育,1-1-2,1-1-2,首胎/无子女|中低收入|有祖辈照护,低补贴-短假期-增强托育,0,0
1,1,2,1,2,1,首胎/无子女,中低收入,有祖辈照护,低补贴,中假期,基础托育,1-1-2,1-2-1,首胎/无子女|中低收入|有祖辈照护,低补贴-中假期-基础托育,0,0
