P_actual,I_actual,G_actual,group_id,group_label,ug,n_group,n_formal
1,1,1,1-1-1,首胎/无子女|中低收入|无祖辈照护,0.0,3,0
1,1,2,1-1-2,首胎/无子女|中低收入|有祖辈照护,0.7333333333333333,15,11
1,2,1,1-2-1,首胎/无子女|中高收入|无祖辈照护,0.5,2,1
1,2,2,1-2-2,首胎/无子女|中高收入|有祖辈照护,0.7,20,14
2,1,1,2-1-1,二胎/已有1孩|中低收入|无祖辈照护,0.9,10,9
2,1,2,2-1-2,二胎/已有1孩|中低收入|有祖辈照护,0.7764705882352941,85,66
2,2,1,2-2-1,二胎/已有1孩|中高收入|无祖辈照护,0.6666666666666666,21,14
2,2,2,2-2-2,二胎/已有1孩|中高收入|有祖辈照护,0.732620320855615,187,137
3,1,1,3-1-1,三胎/已有2孩及以上|中低收入|无祖辈照护,1.0,1,1
3,1,2,3-1-2,三胎/已有2孩及以上|中低收入|有祖辈照护,0.6666666666666666,3,2
3,2,1,3-2-1,三胎/已有2孩及以上|中高收入|无祖辈照护,0.6,5,3
3,2,2,3-2-2,三胎/已有2孩及以上|中高收入|有祖辈照护,0.71875,32,23
