P,I,G,S,L,C,mu_hat_zj,mu_hat_base_zj,delta_hat_zj,group_id,policy_id,n_obs_cell
1,1,1,1,1,1,6.947267590384765,6.947267590384765,0.0,1-1-1,1-1-1,13
1,1,1,1,1,2,7.174672640607176,6.947267590384765,0.2274050502224112,1-1-1,1-1-2,35
1,1,1,1,2,1,7.241430304710069,6.947267590384765,0.29416271432530383,1-1-1,1-2-1,46
1,1,1,1,2,2,7.081726875703792,6.947267590384765,0.13445928531902673,1-1-1,1-2-2,39
1,1,1,1,3,1,7.247145548622441,6.947267590384765,0.29987795823767627,1-1-1,1-3-1,50
1,1,1,1,3,2,7.308904530222353,6.947267590384765,0.36163693983758805,1-1-1,1-3-2,40
1,1,1,2,1,1,6.912767898679368,6.947267590384765,-0.03449969170539724,1-1-1,2-1-1,16
1,1,1,2,1,2,7.323541359892322,6.947267590384765,0.37627376950755664,1-1-1,2-1-2,37
1,1,1,2,2,1,7.256964579611451,6.947267590384765,0.3096969892266861,1-1-1,2-2-1,48
1,1,1,2,2,2,7.280629561595717,6.947267590384765,0.3333619712109517,1-1-1,2-2-2,43
1,1,1,2,3,1,7.301762859838208,6.947267590384765,0.3544952694534427,1-1-1,2-3-1,0
1,1,1,2,3,2,7.546890252428663,6.947267590384765,0.599622662043898,1-1-1,2-3-2,0
1,1,1,3,1,1,7.344934013525073,6.947267590384765,0.39766642314030776,1-1-1,3-1-1,48
1,1,1,3,1,2,7.6605910318201405,6.947267590384765,0.7133234414353753,1-1-1,3-1-2,48
1,1,1,3,2,1,7.622420171352938,6.947267590384765,0.6751525809681729,1-1-1,3-2-1,36
1,1,1,3,2,2,7.550968710419317,6.947267590384765,0.6037011200345521,1-1-1,3-2-2,10
1,1,1,3,3,1,7.764127285713677,6.947267590384765,0.8168596953289118,1-1-1,3-3-1,38
1,1,1,3,3,2,7.914138235386246,6.947267590384765,0.9668706450014808,1-1-1,3-3-2,6
1,1,2,1,1,1,7.655822934459119,7.655822934459119,0.0,1-1-2,1-1-1,0
1,1,2,1,1,2,7.561830565480265,7.655822934459119,-0.09399236897885377,1-1-2,1-1-2,0
1,1,2,1,2,1,7.826760728995396,7.655822934459119,0.1709377945362771,1-1-2,1-2-1,0
1,1,2,1,2,2,7.3456598807878555,7.655822934459119,-0.3101630536712632,1-1-2,1-2-2,0
1,1,2,1,3,1,7.766774218590118,7.655822934459119,0.11095128413099964,1-1-2,1-3-1,35
1,1,2,1,3,2,7.507135780988766,7.655822934459119,-0.14868715347035266,1-1-2,1-3-2,10
1,1,2,2,1,1,7.657693959874553,7.655822934459119,0.0018710254154346018,1-1-2,2-1-1,39
1,1,2,2,1,2,7.747070001886241,7.655822934459119,0.09124706742712263,1-1-2,2-1-2,13
1,1,2,2,2,1,7.87866572101761,7.655822934459119,0.2228427865584912,1-1-2,2-2-1,38
1,1,2,2,2,2,7.580933283800611,7.655822934459119,-0.07488965065850728,1-1-2,2-2-2,13
1,1,2,2,3,1,7.8577622469267165,7.655822934459119,0.2019393124675979,1-1-2,2-3-1,38
1,1,2,2,3,2,7.781492220315906,7.655822934459119,0.12566928585678738,1-1-2,2-3-2,6
1,1,2,3,1,1,8.170545715282753,7.655822934459119,0.5147227808236341,1-1-2,3-1-1,38
1,1,2,3,1,2,8.164805314376554,7.655822934459119,0.5089823799174358,1-1-2,3-1-2,13
1,1,2,3,2,1,8.324806953321591,7.655822934459119,0.6689840188624725,1-1-2,3-2-1,0
1,1,2,3,2,2,7.931958073186707,7.655822934459119,0.27613513872758855,1-1-2,3-2-2,0
1,1,2,3,3,1,8.40081231336468,7.655822934459119,0.7449893789055615,1-1-2,3-3-1,37
1,1,2,3,3,2,8.229425843835983,7.655822934459119,0.5736029093768646,1-1-2,3-3-2,12
1,2,1,1,1,1,7.058226399710394,7.058226399710394,0.0,1-2-1,1-1-1,47
1,2,1,1,1,2,7.373849066996538,7.058226399710394,0.31562266728614397,1-2-1,1-1-2,47
1,2,1,1,2,1,7.473673282823267,7.058226399710394,0.4154468831128728,1-2-1,1-2-1,32
1,2,1,1,2,2,7.402187470880724,7.058226399710394,0.34396107117033026,1-2-1,1-2-2,12
1,2,1,1,3,1,7.472150899846806,7.058226399710394,0.413924500136412,1-2-1,1-3-1,46
1,2,1,1,3,2,7.6221274985104515,7.058226399710394,0.5639010988000575,1-2-1,1-3-2,47
1,2,1,2,1,1,7.042890173381235,7.058226399710394,-0.01533622632915943,1-2-1,2-1-1,0
1,2,1,2,1,2,7.541881251657921,7.058226399710394,0.4836548519475272,1-2-1,2-1-2,0
1,2,1,2,2,1,7.508371023100887,7.058226399710394,0.4501446233904929,1-2-1,2-2-1,36
1,2,1,2,2,2,7.620253622148887,7.058226399710394,0.562027222438493,1-2-1,2-2-2,12
1,2,1,2,3,1,7.54593167643881,7.058226399710394,0.48770527672841624,1-2-1,2-3-1,49
1,2,1,2,3,2,7.879276686092998,7.058226399710394,0.8210502863826044,1-2-1,2-3-2,47
1,2,1,3,1,1,7.112585096057974,7.058226399710394,0.05435869634758017,1-2-1,3-1-1,12
1,2,1,3,1,2,7.516459731416774,7.058226399710394,0.4582333317063796,1-2-1,3-1-2,38
1,2,1,3,2,1,7.511355422673407,7.058226399710394,0.4531290229630134,1-2-1,3-2-1,44
1,2,1,3,2,2,7.528121578803522,7.058226399710394,0.46989517909312806,1-2-1,3-2-2,45
