S,L,C,policy_id,Ebar_zj,mu_bar_zj,share_observed
3,3,2,3-3-2,0.862091104611624,8.15333133053092,0.8333333333333334
3,3,1,3-3-1,0.8375801760090992,8.128820401928396,0.8333333333333334
3,2,1,3-2-1,0.639097796286265,7.93033802220556,0.8333333333333334
2,3,2,2-3-2,0.5939900418013881,7.885230267720684,0.75
3,1,2,3-1-2,0.48834224405064736,7.779582469969943,0.8333333333333334
2,3,1,2-3-1,0.4743626702809772,7.765602896200273,0.75
3,2,2,3-2-2,0.44214631428260226,7.733386540201898,0.8333333333333334
1,3,1,1-3-1,0.4200796152325476,7.711319841151843,0.6666666666666666
2,2,1,2-2-1,0.37278912469212566,7.664029350611422,0.8333333333333334
1,2,1,1-2-1,0.35758910595807974,7.6488293318773755,0.75
1,3,2,1-3-2,0.356338575762416,7.647578801681712,0.6666666666666666
3,1,1,3-1-1,0.2981852468256237,7.589425472744919,0.8333333333333334
2,2,2,2-2-2,0.27095408560634826,7.562194311525645,0.75
2,1,2,2-1-2,0.25043949227017526,7.541679718189472,0.75
1,1,2,1-1-2,0.1019050291523668,7.393145255071662,0.75
1,2,2,1-2-2,0.07238565588176038,7.363625881801056,0.75
1,1,1,1-1-1,0.0,7.291240225919295,0.75
2,1,1,2-1-1,-0.034833947872734014,7.25640627804656,0.75
