P,I,G,S,L,C,mu_hat_zj,mu_hat_base_zj,delta_hat_zj,group_id,policy_id,n_obs_cell
1,1,1,3,3,2,7.914138235386246,6.947267590384765,0.9668706450014808,1-1-1,3-3-2,6
1,1,1,3,3,1,7.764127285713677,6.947267590384765,0.8168596953289118,1-1-1,3-3-1,38
1,1,1,3,1,2,7.6605910318201405,6.947267590384765,0.7133234414353753,1-1-1,3-1-2,48
1,1,2,3,3,1,8.40081231336468,7.655822934459119,0.7449893789055615,1-1-2,3-3-1,37
1,1,2,3,2,1,8.324806953321591,7.655822934459119,0.6689840188624725,1-1-2,3-2-1,0
1,1,2,3,3,2,8.229425843835983,7.655822934459119,0.5736029093768646,1-1-2,3-3-2,12
1,2,1,3,3,2,7.884053476881616,7.058226399710394,0.8258270771712217,1-2-1,3-3-2,34
1,2,1,2,3,2,7.879276686092998,7.058226399710394,0.8210502863826044,1-2-1,2-3-2,47
1,2,1,3,3,1,7.645824910145313,7.058226399710394,0.5875985104349191,1-2-1,3-3-1,9
1,2,2,3,3,1,8.282509937796316,7.766781743784748,0.5157281940115679,1-2-2,3-3-1,0
1,2,2,3,2,1,8.213742204642061,7.766781743784748,0.446960460857313,1-2-2,3-2-1,9
1,2,2,3,3,2,8.199341085331353,7.766781743784748,0.4325593415466047,1-2-2,3-3-2,0
2,1,1,3,3,2,7.975513296008389,6.592800230031338,1.3827130659770503,2-1-1,3-3-2,0
2,1,1,3,3,1,7.723132646481158,6.592800230031338,1.1303324164498196,2-1-1,3-3-1,0
2,1,1,2,3,2,7.491728426499721,6.592800230031338,0.8989281964683826,2-1-1,2-3-2,34
2,1,2,3,3,1,8.359817674132161,7.301355574105692,1.0584621000264691,2-1-2,3-3-1,11
2,1,2,3,3,2,8.290800904458127,7.301355574105692,0.9894453303524352,2-1-2,3-3-2,34
2,1,2,3,2,1,8.148241868938992,7.301355574105692,0.8468862948333005,2-1-2,3-2-1,49
2,2,1,3,3,2,7.9454285375037585,6.703759039356967,1.2416694981467913,2-2-1,3-3-2,4
2,2,1,2,3,2,7.824114860164057,6.703759039356967,1.1203558208070898,2-2-1,2-3-2,11
2,2,1,1,3,2,7.635795212584712,6.703759039356967,0.9320361732277452,2-2-1,1-3-2,0
2,2,2,3,3,2,8.260716145953497,7.412314383431322,0.8484017625221751,2-2-2,3-3-2,46
2,2,2,3,3,1,8.241515298563797,7.412314383431322,0.8292009151324757,2-2-2,3-3-1,47
2,2,2,2,3,2,8.0587168280513,7.412314383431322,0.6464024446199792,2-2-2,2-3-2,34
3,1,1,3,3,2,7.266766859727016,6.155491309140284,1.1112755505867329,3-1-1,3-3-2,27
3,1,1,3,1,2,7.018267859870054,6.155491309140284,0.8627765507297704,3-1-1,3-1-2,0
3,1,1,2,3,2,7.001903626155264,6.155491309140284,0.8464123170149804,3-1-1,2-3-2,20
3,1,2,3,3,2,7.582054468176754,6.864046653214636,0.7180078149621174,3-1-2,3-3-2,33
3,1,2,3,3,1,7.578958341023588,6.864046653214636,0.7149116878089519,3-1-2,3-3-1,10
3,1,2,3,1,2,7.522482142426469,6.864046653214636,0.6584354892118327,3-1-2,3-1-2,35
3,2,1,2,3,2,7.334290059819599,6.2664501184659125,1.0678399413536868,3-2-1,2-3-2,0
3,2,1,3,3,2,7.236682101222386,6.2664501184659125,0.9702319827564736,3-2-1,3-3-2,13
3,2,1,2,1,2,7.001942829093666,6.2664501184659125,0.7354927106277538,3-2-1,2-1-2,0
3,2,2,2,3,2,7.568892027706844,6.975005462540265,0.5938865651665788,3-2-2,2-3-2,38
3,2,2,3,3,2,7.551969709672123,6.975005462540265,0.5769642471318583,3-2-2,3-3-2,36
3,2,2,3,3,1,7.460655965455225,6.975005462540265,0.48565050291496,3-2-2,3-3-1,8
