P,I,G,S,L,C,mu_hat_zj,mu_hat_base_zj,delta_hat_zj,group_id,policy_id,n_obs_cell,group_label,pi_zj,ug,ug_shrunk,wage_anchor_monthly,income_anchor,q_g,r_g,tau_si,w_g,m_L,k_L,C_cash_zj,A_C,u_g_used,C_childcare_zj,SC_g,C_leave_birth_allowance,C_leave_socsub,C_leave_zj,C_total_zj,scenario,scenario_note
1,1,1,1,1,1,6.947267590384765,6.947267590384765,0.0,1-1-1,1-1-1,13,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,0.0,0.0,0.0,0.0,1673.3166666666666,0.0,0.0,0.0,0.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,1,1,2,7.174672640607176,6.947267590384765,0.2274050502224112,1-1-1,1-1-2,35,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,0.0,8400.0,0.0,0.0,1673.3166666666666,0.0,0.0,0.0,0.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,1,2,1,7.241430304710069,6.947267590384765,0.2941627143253038,1-1-1,1-2-1,46,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,0.0,0.0,0.0,0.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,9164.626666666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,1,2,2,7.081726875703792,6.947267590384765,0.1344592853190267,1-1-1,1-2-2,39,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,0.0,8400.0,0.0,0.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,9164.626666666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,1,3,1,7.247145548622441,6.947267590384765,0.2998779582376762,1-1-1,1-3-1,50,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,0.0,0.0,0.0,0.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,14313.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,1,3,2,7.308904530222353,6.947267590384765,0.361636939837588,1-1-1,1-3-2,40,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,0.0,8400.0,0.0,0.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,14313.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,2,1,1,6.912767898679368,6.947267590384765,-0.0344996917053972,1-1-1,2-1-1,16,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,10800.0,0.0,0.0,0.0,1673.3166666666666,0.0,0.0,0.0,10800.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,2,1,2,7.323541359892322,6.947267590384765,0.3762737695075566,1-1-1,2-1-2,37,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,10800.0,8400.0,0.0,0.0,1673.3166666666666,0.0,0.0,0.0,10800.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,2,2,1,7.256964579611451,6.947267590384765,0.3096969892266861,1-1-1,2-2-1,48,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,10800.0,0.0,0.0,0.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,19964.626666666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,2,2,2,7.280629561595717,6.947267590384765,0.3333619712109517,1-1-1,2-2-2,43,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,10800.0,8400.0,0.0,0.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,19964.626666666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,2,3,1,7.301762859838208,6.947267590384765,0.3544952694534427,1-1-1,2-3-1,0,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,10800.0,0.0,0.0,0.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,25113.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,2,3,2,7.546890252428663,6.947267590384765,0.599622662043898,1-1-1,2-3-2,0,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,10800.0,8400.0,0.0,0.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,25113.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,3,1,1,7.344934013525073,6.947267590384765,0.3976664231403077,1-1-1,3-1-1,48,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,21600.0,0.0,0.0,0.0,1673.3166666666666,0.0,0.0,0.0,21600.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,3,1,2,7.6605910318201405,6.947267590384765,0.7133234414353753,1-1-1,3-1-2,48,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,21600.0,8400.0,0.0,0.0,1673.3166666666666,0.0,0.0,0.0,21600.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
