group_id,group_label,P_actual,I_actual,G_actual,pi_zj,ug,n_group,n_formal,ug_shrunk,wage_anchor_annual,wage_anchor_monthly,income_anchor,q_main,q_low,q_high,rg_main,tau_si_main
1-1-1,首胎/无子女|中低收入|无祖辈照护,1,1,1,0.0078125,0.0,3,0,0.5629006410256411,77230.0,6435.833333333333,中低收入→私营单位平均工资,0.8,0.6,1.0,1.0,0.26
1-1-2,首胎/无子女|中低收入|有祖辈照护,1,1,2,0.0390625,0.7333333333333333,15,11,0.7327083333333334,77230.0,6435.833333333333,中低收入→私营单位平均工资,0.8,0.6,1.0,1.0,0.26
1-2-1,首胎/无子女|中高收入|无祖辈照护,1,2,1,0.0052083333333333,0.5,2,1,0.6931423611111112,137239.0,11436.583333333334,中高收入→非私营单位平均工资,0.8,0.6,1.0,1.0,0.26
1-2-2,首胎/无子女|中高收入|有祖辈照护,1,2,2,0.0520833333333333,0.7,20,14,0.7105902777777778,137239.0,11436.583333333334,中高收入→非私营单位平均工资,0.8,0.6,1.0,1.0,0.26
2-1-1,二胎/已有1孩|中低收入|无祖辈照护,2,1,1,0.0260416666666666,0.9,10,9,0.8158854166666668,77230.0,6435.833333333333,中低收入→私营单位平均工资,0.8,0.6,1.0,1.0,0.26
2-1-2,二胎/已有1孩|中低收入|有祖辈照护,2,1,2,0.2213541666666666,0.7764705882352941,85,66,0.7717653508771929,77230.0,6435.833333333333,中低收入→私营单位平均工资,0.8,0.6,1.0,1.0,0.26
2-2-1,二胎/已有1孩|中高收入|无祖辈照护,2,2,1,0.0546875,0.6666666666666666,21,14,0.6876680107526882,137239.0,11436.583333333334,中高收入→非私营单位平均工资,0.8,0.6,1.0,1.0,0.26
2-2-2,二胎/已有1孩|中高收入|有祖辈照护,2,2,2,0.4869791666666667,0.732620320855615,187,137,0.7325771996615906,137239.0,11436.583333333334,中高收入→非私营单位平均工资,0.8,0.6,1.0,1.0,0.26
3-1-1,三胎/已有2孩及以上|中低收入|无祖辈照护,3,1,1,0.0026041666666666,1.0,1,1,0.7561553030303031,77230.0,6435.833333333333,中低收入→私营单位平均工资,0.8,0.6,1.0,1.0,0.26
3-1-2,三胎/已有2孩及以上|中低收入|有祖辈照护,3,1,2,0.0078125,0.6666666666666666,3,2,0.7167467948717949,77230.0,6435.833333333333,中低收入→私营单位平均工资,0.8,0.6,1.0,1.0,0.26
3-2-1,三胎/已有2孩及以上|中高收入|无祖辈照护,3,2,1,0.0130208333333333,0.6,5,3,0.6878472222222223,137239.0,11436.583333333334,中高收入→非私营单位平均工资,0.8,0.6,1.0,1.0,0.26
3-2-2,三胎/已有2孩及以上|中高收入|有祖辈照护,3,2,2,0.0833333333333333,0.71875,32,23,0.7218501984126985,137239.0,11436.583333333334,中高收入→非私营单位平均工资,0.8,0.6,1.0,1.0,0.26
