scenario,scenario_note,policy_id,S,L,C,Cbar_zj,Cbar_cash,Cbar_childcare,Cbar_leave,Ebar_zj,share_observed,E_per_10k_yuan
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-1-1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.75,
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-1-2,1,1,2,6146.874999999998,0.0,6146.874999999998,0.0,0.10190502915236678,0.75,0.16578347396419613
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-2-1,1,2,1,14115.994260416666,0.0,0.0,14115.994260416666,0.3575891059580797,0.75,0.2533219406023792
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-2-2,1,2,2,20262.869260416657,0.0,6146.874999999998,14115.994260416666,0.07238565588176035,0.75,0.035723300067461376
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-3-1,1,3,1,22046.32811458333,0.0,0.0,22046.32811458333,0.4200796152325476,0.6666666666666666,0.19054402758102423
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-3-2,1,3,2,28193.203114583328,0.0,6146.874999999998,22046.32811458333,0.35633857576241595,0.6666666666666666,0.12639166054108086
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-1-1,2,1,1,10799.999999999998,10799.999999999998,0.0,0.0,-0.034833947872733965,0.75,-0.03225365543771664
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-1-2,2,1,2,16946.874999999993,10799.999999999998,6146.874999999998,0.0,0.2504394922701753,0.75,0.1477791582637952
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-2-1,2,2,1,24915.994260416657,10799.999999999998,0.0,14115.994260416666,0.3727891246921256,0.8333333333333334,0.14961840205765548
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-2-2,2,2,2,31062.869260416657,10799.999999999998,6146.874999999998,14115.994260416666,0.2709540856063482,0.75,0.0872276425383615
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-3-1,2,3,1,32846.328114583324,10799.999999999998,0.0,22046.32811458333,0.47436267028097717,0.75,0.14441878210135964
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-3-2,2,3,2,38993.20311458332,10799.999999999998,6146.874999999998,22046.32811458333,0.5939900418013881,0.75,0.1523316871547898
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-1-1,3,1,1,21599.999999999996,21599.999999999996,0.0,0.0,0.29818524682562364,0.8333333333333334,0.13804872538223317
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-1-2,3,1,2,27746.87499999999,21599.999999999996,6146.874999999998,0.0,0.4883422440506473,0.8333333333333334,0.1759990067532461
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-2-1,3,2,1,35715.99426041666,21599.999999999996,0.0,14115.994260416666,0.6390977962862652,0.8333333333333334,0.17893882265362687
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-2-2,3,2,2,41862.86926041666,21599.999999999996,6146.874999999998,14115.994260416666,0.4421463142826022,0.8333333333333334,0.10561777587010088
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-3-1,3,3,1,43646.32811458332,21599.999999999996,0.0,22046.32811458333,0.8375801760090991,0.8333333333333334,0.19190163575965116
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-3-2,3,3,2,49793.20311458332,21599.999999999996,6146.874999999998,22046.32811458333,0.8620911046116242,0.8333333333333334,0.17313429357573043
broad_q06_m012,假期实际使用率下界,1-1-1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.75,
broad_q06_m012,假期实际使用率下界,1-1-2,1,1,2,6146.874999999998,0.0,6146.874999999998,0.0,0.10190502915236678,0.75,0.16578347396419613
broad_q06_m012,假期实际使用率下界,1-2-1,1,2,1,10586.995695312495,0.0,0.0,10586.995695312495,0.3575891059580797,0.75,0.3377625874698391
broad_q06_m012,假期实际使用率下界,1-2-2,1,2,2,16733.870695312493,0.0,6146.874999999998,10586.995695312495,0.07238565588176035,0.75,0.04325697096609996
broad_q06_m012,假期实际使用率下界,1-3-1,1,3,1,16534.746085937495,0.0,0.0,16534.746085937495,0.4200796152325476,0.6666666666666666,0.25405870344136566
broad_q06_m012,假期实际使用率下界,1-3-2,1,3,2,22681.621085937495,0.0,6146.874999999998,16534.746085937495,0.35633857576241595,0.6666666666666666,0.15710454487018316
broad_q06_m012,假期实际使用率下界,2-1-1,2,1,1,10799.999999999998,10799.999999999998,0.0,0.0,-0.034833947872733965,0.75,-0.03225365543771664
broad_q06_m012,假期实际使用率下界,2-1-2,2,1,2,16946.874999999993,10799.999999999998,6146.874999999998,0.0,0.2504394922701753,0.75,0.1477791582637952
broad_q06_m012,假期实际使用率下界,2-2-1,2,2,1,21386.9956953125,10799.999999999998,0.0,10586.995695312495,0.3727891246921256,0.8333333333333334,0.17430644771384685
broad_q06_m012,假期实际使用率下界,2-2-2,2,2,2,27533.870695312493,10799.999999999998,6146.874999999998,10586.995695312495,0.2709540856063482,0.75,0.09840755359270167
broad_q06_m012,假期实际使用率下界,2-3-1,2,3,1,27334.746085937495,10799.999999999998,0.0,16534.746085937495,0.47436267028097717,0.75,0.17353834888007816
broad_q06_m012,假期实际使用率下界,2-3-2,2,3,2,33481.62108593749,10799.999999999998,6146.874999999998,16534.746085937495,0.5939900418013881,0.75,0.17740779046414454
broad_q06_m012,假期实际使用率下界,3-1-1,3,1,1,21599.999999999996,21599.999999999996,0.0,0.0,0.29818524682562364,0.8333333333333334,0.13804872538223317
broad_q06_m012,假期实际使用率下界,3-1-2,3,1,2,27746.87499999999,21599.999999999996,6146.874999999998,0.0,0.4883422440506473,0.8333333333333334,0.1759990067532461
broad_q06_m012,假期实际使用率下界,3-2-1,3,2,1,32186.995695312493,21599.999999999996,0.0,10586.995695312495,0.6390977962862652,0.8333333333333334,0.19855776610407266
broad_q06_m012,假期实际使用率下界,3-2-2,3,2,2,38333.870695312486,21599.999999999996,6146.874999999998,10586.995695312495,0.4421463142826022,0.8333333333333334,0.11534089990465493
broad_q06_m012,假期实际使用率下界,3-3-1,3,3,1,38134.746085937484,21599.999999999996,0.0,16534.746085937495,0.8375801760090991,0.8333333333333334,0.21963701400334326
broad_q06_m012,假期实际使用率下界,3-3-2,3,3,2,44281.62108593748,21599.999999999996,6146.874999999998,16534.746085937495,0.8620911046116242,0.8333333333333334,0.19468372735012598
broad_q10_m012,假期实际使用率上界,1-1-1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.75,
broad_q10_m012,假期实际使用率上界,1-1-2,1,1,2,6146.874999999998,0.0,6146.874999999998,0.0,0.10190502915236678,0.75,0.16578347396419613
broad_q10_m012,假期实际使用率上界,1-2-1,1,2,1,17644.99282552083,0.0,0.0,17644.99282552083,0.3575891059580797,0.75,0.20265755248190342
broad_q10_m012,假期实际使用率上界,1-2-2,1,2,2,23791.867825520825,0.0,6146.874999999998,17644.99282552083,0.07238565588176035,0.75,0.030424536826030288
broad_q10_m012,假期实际使用率上界,1-3-1,1,3,1,27557.91014322916,0.0,0.0,27557.91014322916,0.4200796152325476,0.6666666666666666,0.1524352220648194
broad_q10_m012,假期实际使用率上界,1-3-2,1,3,2,33704.78514322916,0.0,6146.874999999998,27557.91014322916,0.35633857576241595,0.6666666666666666,0.10572343785849637
broad_q10_m012,假期实际使用率上界,2-1-1,2,1,1,10799.999999999998,10799.999999999998,0.0,0.0,-0.034833947872733965,0.75,-0.03225365543771664
broad_q10_m012,假期实际使用率上界,2-1-2,2,1,2,16946.874999999993,10799.999999999998,6146.874999999998,0.0,0.2504394922701753,0.75,0.1477791582637952
broad_q10_m012,假期实际使用率上界,2-2-1,2,2,1,28444.99282552083,10799.999999999998,0.0,17644.99282552083,0.3727891246921256,0.8333333333333334,0.13105615001514764
broad_q10_m012,假期实际使用率上界,2-2-2,2,2,2,34591.86782552082,10799.999999999998,6146.874999999998,17644.99282552083,0.2709540856063482,0.75,0.07832883930206468
broad_q10_m012,假期实际使用率上界,2-3-1,2,3,1,38357.91014322916,10799.999999999998,0.0,27557.91014322916,0.47436267028097717,0.75,0.12366749609394725
broad_q10_m012,假期实际使用率上界,2-3-2,2,3,2,44504.78514322915,10799.999999999998,6146.874999999998,27557.91014322916,0.5939900418013881,0.75,0.13346655643651756
broad_q10_m012,假期实际使用率上界,3-1-1,3,1,1,21599.999999999996,21599.999999999996,0.0,0.0,0.29818524682562364,0.8333333333333334,0.13804872538223317
broad_q10_m012,假期实际使用率上界,3-1-2,3,1,2,27746.87499999999,21599.999999999996,6146.874999999998,0.0,0.4883422440506473,0.8333333333333334,0.1759990067532461
broad_q10_m012,假期实际使用率上界,3-2-1,3,2,1,39244.99282552082,21599.999999999996,0.0,17644.99282552083,0.6390977962862652,0.8333333333333334,0.1628482387874621
broad_q10_m012,假期实际使用率上界,3-2-2,3,2,2,45391.867825520814,21599.999999999996,6146.874999999998,17644.99282552083,0.4421463142826022,0.8333333333333334,0.09740650373369585
