scenario,scenario_note,policy_id,S,L,C,Cbar_zj,Cbar_cash,Cbar_childcare,Cbar_leave,Ebar_zj,share_observed,E_per_10k_yuan
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-1-1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.75,
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-2-1,1,2,1,14115.994260416666,0.0,0.0,14115.994260416666,0.3575891059580797,0.75,0.2533219406023792
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-2-1,2,2,1,24915.994260416657,10799.999999999998,0.0,14115.994260416666,0.3727891246921256,0.8333333333333334,0.14961840205765548
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-3-2,2,3,2,38993.20311458332,10799.999999999998,6146.874999999998,22046.32811458333,0.5939900418013881,0.75,0.1523316871547898
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-3-1,3,3,1,43646.32811458332,21599.999999999996,0.0,22046.32811458333,0.8375801760090991,0.8333333333333334,0.19190163575965116
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-3-2,3,3,2,49793.20311458332,21599.999999999996,6146.874999999998,22046.32811458333,0.8620911046116242,0.8333333333333334,0.17313429357573043
broad_q06_m012,假期实际使用率下界,1-1-1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.75,
broad_q06_m012,假期实际使用率下界,1-2-1,1,2,1,10586.995695312495,0.0,0.0,10586.995695312495,0.3575891059580797,0.75,0.3377625874698391
broad_q06_m012,假期实际使用率下界,2-2-1,2,2,1,21386.9956953125,10799.999999999998,0.0,10586.995695312495,0.3727891246921256,0.8333333333333334,0.17430644771384685
broad_q06_m012,假期实际使用率下界,2-3-2,2,3,2,33481.62108593749,10799.999999999998,6146.874999999998,16534.746085937495,0.5939900418013881,0.75,0.17740779046414454
broad_q06_m012,假期实际使用率下界,3-3-1,3,3,1,38134.746085937484,21599.999999999996,0.0,16534.746085937495,0.8375801760090991,0.8333333333333334,0.21963701400334326
broad_q06_m012,假期实际使用率下界,3-3-2,3,3,2,44281.62108593748,21599.999999999996,6146.874999999998,16534.746085937495,0.8620911046116242,0.8333333333333334,0.19468372735012598
broad_q10_m012,假期实际使用率上界,1-1-1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.75,
broad_q10_m012,假期实际使用率上界,1-2-1,1,2,1,17644.99282552083,0.0,0.0,17644.99282552083,0.3575891059580797,0.75,0.20265755248190342
broad_q10_m012,假期实际使用率上界,2-2-1,2,2,1,28444.99282552083,10799.999999999998,0.0,17644.99282552083,0.3727891246921256,0.8333333333333334,0.13105615001514764
broad_q10_m012,假期实际使用率上界,2-3-2,2,3,2,44504.78514322915,10799.999999999998,6146.874999999998,27557.91014322916,0.5939900418013881,0.75,0.13346655643651756
broad_q10_m012,假期实际使用率上界,3-3-1,3,3,1,49157.91014322915,21599.999999999996,0.0,27557.91014322916,0.8375801760090991,0.8333333333333334,0.17038563550986607
broad_q10_m012,假期实际使用率上界,3-3-2,3,3,2,55304.78514322915,21599.999999999996,6146.874999999998,27557.91014322916,0.8620911046116242,0.8333333333333334,0.15588002057669473
broad_q08_m_conservative,新增公共支付月数保守口径,1-1-1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.75,
broad_q08_m_conservative,新增公共支付月数保守口径,1-2-1,1,2,1,8008.725660081417,0.0,0.0,8008.725660081417,0.3575891059580797,0.75,0.44649938221812485
broad_q08_m_conservative,新增公共支付月数保守口径,2-2-1,2,2,1,18808.725660081414,10799.999999999998,0.0,8008.725660081417,0.3727891246921256,0.8333333333333334,0.19820009682171738
