group_id,group_label,policy_id,policy_label,S,L,C,pi_zj,N_g,is_vulnerable,delta_hat_zj,cost_per_household_yuan,group_total_cost_yuan,group_total_effect_units
1-1-1,首胎/无子女|中低收入|无祖辈照护,1-1-2,低补贴–短假期–增强托育,1,1,2,0.0078125,3203.125,0,0.2274050502224112,0.0,0.0,728.4068014936609
1-1-2,首胎/无子女|中低收入|有祖辈照护,1-1-1,低补贴–短假期–基础托育,1,1,1,0.0390625,16015.625,0,0.0,0.0,0.0,0.0
1-2-1,首胎/无子女|中高收入|无祖辈照护,1-1-2,低补贴–短假期–增强托育,1,1,2,0.0052083333333333,2135.416666666653,0,0.3156226672861439,4200.0,8968749.999999942,673.9859041006155
1-2-2,首胎/无子女|中高收入|有祖辈照护,1-1-1,低补贴–短假期–基础托育,1,1,1,0.0520833333333333,21354.166666666653,0,0.0,0.0,0.0,0.0
2-1-1,二胎/已有1孩|中低收入|无祖辈照护,1-2-1,低补贴–中假期–基础托育,1,2,1,0.0260416666666666,10677.083333333305,1,0.4243576437482481,9164.626666666669,97851482.63888866,4530.901925437011
2-1-2,二胎/已有1孩|中低收入|有祖辈照护,1-2-1,低补贴–中假期–基础托育,1,2,1,0.2213541666666666,90755.20833333331,0,0.3011327239592232,9164.626666666669,831737602.4305556,27329.363098903454
2-2-1,二胎/已有1孩|中高收入|无祖辈照护,1-1-2,低补贴–短假期–增强托育,1,1,2,0.0546875,22421.875,0,0.4179923671408065,5600.0,125562500.0,9372.17260698527
2-2-2,二胎/已有1孩|中高收入|有祖辈照护,1-1-1,低补贴–短假期–基础托育,1,1,1,0.4869791666666667,199661.45833333334,0,0.0,0.0,0.0,0.0
3-1-1,三胎/已有2孩及以上|中低收入|无祖辈照护,1-1-2,低补贴–短假期–增强托育,1,1,2,0.0026041666666666,1067.708333333306,1,0.40188764690427,8400.0,8968749.99999977,429.0987896634023
3-1-2,三胎/已有2孩及以上|中低收入|有祖辈照护,1-1-1,低补贴–短假期–基础托育,1,1,1,0.0078125,3203.125,0,0.0,0.0,0.0,0.0
3-2-1,三胎/已有2孩及以上|中高收入|无祖辈照护,1-1-2,低补贴–短假期–增强托育,1,1,2,0.0130208333333333,5338.541666666652,0,0.4901052639680054,5040.0,26906249.99999993,2616.4473727458553
3-2-2,三胎/已有2孩及以上|中高收入|有祖辈照护,1-1-1,低补贴–短假期–基础托育,1,1,1,0.0833333333333333,34166.66666666666,0,0.0,0.0,0.0,0.0
