lambda_fair,budget_name,budget_yuan,budget_yi_yuan,mode,selected_policy_id,selected_policy_label,total_cost_yuan,total_cost_yi_yuan,total_effect_units,weighted_utility,vulnerable_effect_units,vulnerable_budget_yuan,vulnerable_budget_yi_yuan,n_unique_policies,frontier_states,gain_vs_uniform_effect_units,gain_vs_uniform_effect_pct,gain_vs_uniform_utility,gain_vs_uniform_utility_pct,vulnerable_budget_share,vulnerable_effect_share
0.5,tight,1100000000.0,11.0,stratified,MULTI,多政策分层组合,1099995335.069444,10.99995335069444,45680.37649932927,48160.37685687948,4960.000715100414,106820232.63888843,1.0682023263888842,3,146.0,45680.37649932927,,48160.37685687948,,0.09710971422632875,0.10858055679933465
0.5,tight,1100000000.0,11.0,uniform,1-1-1,低补贴–短假期–基础托育,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,
0.5,moderate,2200000000.0,22.0,stratified,MULTI,多政策分层组合,2197905578.124998,21.97905578124998,74964.3426789861,82681.3340045888,15433.982651205404,484667975.6944427,4.846679756944427,6,287.0,74964.3426789861,,82681.3340045888,,0.22051355641396844,0.20588431912618954
0.5,moderate,2200000000.0,22.0,uniform,1-1-1,低补贴–短假期–基础托育,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,
0.5,ample,4400000000.0,44.0,stratified,MULTI,多政策分层组合,4398334834.374996,43.98334834374996,136953.66959800723,144928.5999967656,15949.86079751677,511481648.26388645,5.114816482638864,6,574.0,95172.60764553686,227.78886700822505,101172.4724055625,231.21898114654593,0.11628983866040023,0.1164617263950177
0.5,ample,4400000000.0,44.0,uniform,1-1-2,低补贴–短假期–增强托育,2520218749.9999995,25.202187499999994,41781.06195247037,43756.12759120311,3950.131277465483,89687499.99999957,0.8968749999999956,1,,,,,,0.03558718861209948,0.09454358249579928
0.5,max,8900000000.0,89.0,stratified,MULTI,多政策分层组合,8889350137.430552,88.89350137430552,249878.0693057814,257852.99970453978,15949.86079751677,511481648.26388645,5.114816482638864,9,1173.0,103266.53586296868,70.43547900905683,108888.41905472812,73.09685200316494,0.057538699720037036,0.06383057481526548
0.5,max,8900000000.0,89.0,uniform,1-2-1,低补贴–中假期–基础托育,5787557646.770831,57.87557646770831,146611.5334428127,148964.58064981166,4706.094413997871,107636630.9027773,1.076366309027773,1,,,,,,0.018597936724281817,0.03209907367781219
1.0,tight,1100000000.0,11.0,stratified,MULTI,多政策分层组合,1093169148.2638862,10.931691482638863,40080.57781074485,56030.438608261626,15949.86079751677,511481648.26388645,5.114816482638864,5,127.0,40080.57781074485,,56030.438608261626,,0.4678888432555883,0.39794488175369847
1.0,tight,1100000000.0,11.0,uniform,1-1-1,低补贴–短假期–基础托育,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,
1.0,moderate,2200000000.0,22.0,stratified,MULTI,多政策分层组合,2190125500.694442,21.901255006944417,74529.02844448978,90478.88924200655,15949.86079751677,511481648.26388645,5.114816482638864,6,250.0,74529.02844448978,,90478.88924200655,,0.23353988075190513,0.21400870413058504
1.0,moderate,2200000000.0,22.0,uniform,1-1-1,低补贴–短假期–基础托育,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,
1.0,ample,4400000000.0,44.0,stratified,MULTI,多政策分层组合,4398334834.374996,43.98334834374996,136953.66959800723,152903.530395524,15949.86079751677,511481648.26388645,5.114816482638864,6,501.0,95172.60764553686,227.78886700822505,107172.33716558813,234.35281171590475,0.11628983866040023,0.1164617263950177
1.0,ample,4400000000.0,44.0,uniform,1-1-2,低补贴–短假期–增强托育,2520218749.9999995,25.202187499999994,41781.06195247037,45731.19322993585,3950.131277465483,89687499.99999957,0.8968749999999956,1,,,,,,0.03558718861209948,0.09454358249579928
1.0,max,8900000000.0,89.0,stratified,MULTI,多政策分层组合,8889350137.430552,88.89350137430552,249878.0693057814,265827.9301032982,15949.86079751677,511481648.26388645,5.114816482638864,9,996.0,103266.53586296868,70.43547900905683,114510.30224648764,75.67545425364908,0.057538699720037036,0.06383057481526548
1.0,max,8900000000.0,89.0,uniform,1-2-1,低补贴–中假期–基础托育,5787557646.770831,57.87557646770831,146611.5334428127,151317.62785681058,4706.094413997871,107636630.9027773,1.076366309027773,1,,,,,,0.018597936724281817,0.03209907367781219
