policy_id,policy_label,S,L,C,Cbar_zj,Ebar_zj,total_cost_yuan,total_effect_units,share_observed,E_per_10k_yuan,is_pareto_front
1-1-1,低补贴–短假期–基础托育,1,1,1,0.0,0.0,0.0,0.0,0.75,,True
1-1-2,低补贴–短假期–增强托育,1,1,2,6146.874999999998,0.10190502915236678,2520218749.9999995,41781.06195247037,0.75,0.16578347396419613,True
2-1-1,中补贴–短假期–基础托育,2,1,1,10799.999999999998,-0.034833947872733965,4427999999.999998,-14281.918627820929,0.75,-0.03225365543771664,False
1-2-1,低补贴–中假期–基础托育,1,2,1,14115.994260416666,0.3575891059580797,5787557646.770831,146611.53344281274,0.75,0.2533219406023792,True
2-1-2,中补贴–短假期–增强托育,2,1,2,16946.874999999993,0.2504394922701753,6948218749.999997,102680.19183077184,0.75,0.1477791582637952,False
1-2-2,低补贴–中假期–增强托育,1,2,2,20262.86926041666,0.07238565588176035,8307776396.770832,29678.118911521753,0.75,0.03572330006746137,False
3-1-1,高补贴–短假期–基础托育,3,1,1,21599.999999999996,0.29818524682562364,8855999999.999996,122255.95119850567,0.8333333333333334,0.13804872538223317,False
1-3-1,低补贴–长假期–基础托育,1,3,1,22046.32811458333,0.4200796152325476,9038994526.979164,172232.64224534453,0.6666666666666666,0.19054402758102423,True
2-2-1,中补贴–中假期–基础托育,2,2,1,24915.994260416657,0.3727891246921256,10215557646.77083,152843.5411237715,0.8333333333333334,0.14961840205765548,False
3-1-2,高补贴–短假期–增强托育,3,1,2,27746.87499999999,0.4883422440506473,11376218749.999998,200220.32006076534,0.8333333333333334,0.1759990067532461,True
1-3-2,低补贴–长假期–增强托育,1,3,2,28193.203114583324,0.35633857576241595,11559213276.979164,146098.81606259057,0.6666666666666666,0.1263916605410809,False
2-2-2,中补贴–中假期–增强托育,2,2,2,31062.869260416657,0.2709540856063482,12735776396.77083,111091.17509860278,0.75,0.0872276425383615,False
2-3-1,中补贴–长假期–基础托育,2,3,1,32846.328114583324,0.47436267028097717,13466994526.979164,194488.69481520064,0.75,0.14441878210135964,False
3-2-1,高补贴–中假期–基础托育,3,2,1,35715.99426041666,0.6390977962862652,14643557646.770828,262030.0964773686,0.8333333333333334,0.17893882265362687,True
2-3-2,中补贴–长假期–增强托育,2,3,2,38993.20311458332,0.5939900418013881,15987213276.979162,243535.91713856914,0.75,0.1523316871547898,False
3-2-2,高补贴–中假期–增强托育,3,2,2,41862.86926041666,0.4421463142826022,17163776396.770828,181279.9888558669,0.8333333333333334,0.10561777587010088,False
3-3-1,高补贴–长假期–基础托育,3,3,1,43646.32811458332,0.8375801760090991,17894994526.979164,343407.8721637306,0.8333333333333334,0.19190163575965116,True
3-3-2,高补贴–长假期–增强托育,3,3,2,49793.20311458332,0.8620911046116242,20415213276.979156,353457.3528907658,0.8333333333333334,0.17313429357573043,True
